"logFC","logCPM","PValue"
"dp_gene1",-0.625320003407073,1.21711726805216,0.230874502772816
"dp_gene10",-0.158705540585359,4.08377510984423,0.548135333432212
"dp_gene100",0.637770105284361,0.887049176289692,0.166188870669037
"dp_gene10000",0.0143546282010676,0.6901791188388,1
"dp_gene10001",-0.35571998827994,5.41818444628325,0.0263956920392744
"dp_gene10002",-0.602027365707268,1.73076707119421,0.10736453840784
"dp_gene10003",-0.00717589545071443,5.13412110556007,0.964568550783385
"dp_gene10004",0.108493665476031,4.60216077765213,0.615574147646775
"dp_gene10005",0.371988209640963,7.84967118141553,0.00692557769971605
"dp_gene10006",0.539052551027015,7.67894889902379,0.000200654322917678
"dp_gene10007",-0.119123821615188,6.85196041419404,0.605493346388741
"dp_gene10008",-0.00249413205903886,4.02145055076582,0.988917502387567
"dp_gene1001",0.821579021283025,2.6451129772494,0.0108084972638013
"dp_gene10010",-0.098748403869235,2.88233593421975,0.696717072202277
"dp_gene10012",-0.0308759341975446,5.79819062358081,0.845659308092474
"dp_gene10014",-0.0425414037580079,10.0433863297385,0.753808797800729
"dp_gene10015",0.0847498826568806,5.99598175269896,0.591581413393221
"dp_gene10017",0.007149089726826,2.8798001529705,1
"dp_gene10018",-0.509746525313823,2.03572907822252,0.386035442337593
"dp_gene10019",0.317485399956694,2.88165517131004,0.297950465068343
"dp_gene10020",-0.944622996784794,2.13707786827225,0.00460368140293417
"dp_gene10021",-0.0416702128429334,7.49842485252414,0.763798102808113
"dp_gene10022",-0.00788320520429164,6.84972896287809,0.968085549186819
"dp_gene10023",-0.0528378569833875,1.79281441393399,0.877349224788327
"dp_gene10026",-0.953872787389513,1.24531477272664,0.0370119176755635
"dp_gene10028",-0.103684358768091,5.71709408554693,0.529588320061876
"dp_gene1003",-0.289128143868516,1.88888046539738,0.453855752809038
"dp_gene10030",0.0500491665404642,2.71993430943249,0.856150552671084
"dp_gene10031",0.0231557409055053,3.69911759063158,0.946247557314158
"dp_gene10032",0.10356614473218,7.70878970555595,0.433940607562853
"dp_gene10033",-0.0232260243951024,8.9341781870483,0.877561228837562
"dp_gene10035",0.0275847478855416,5.79726914229535,0.843561296959316
"dp_gene10036",-0.0127688199849315,7.26220881572541,0.934795960103636
"dp_gene10038",-0.291058381104498,3.07294102912286,0.265484807906354
"dp_gene10039",-0.143928991647615,0.61200201270002,0.905820737337956
"dp_gene10040",-0.0145971456052325,3.35184254496719,0.967437953574432
"dp_gene10047",0.208981043507958,4.86479562061658,0.524293444899032
"dp_gene10048",-0.272176109026986,2.45444162543125,0.535168412323852
"dp_gene10049",0.143961121849457,5.52700505560398,0.371737090394428
"dp_gene1005",-0.0240550272453408,2.48088307739999,0.978416931503213
"dp_gene10050",0.166130637401986,1.14236718606786,0.668535794198156
"dp_gene10051",0.351490009201108,7.72982738552524,0.0269231156767732
"dp_gene10052",0.236987897273556,4.41849154553313,0.242441227596351
"dp_gene10053",-0.0464594703176506,5.08042969329432,0.833966879987024
"dp_gene10054",0.183213373989154,3.61634447989152,0.44223606976891
"dp_gene10055",-0.0341994535148219,5.14767212060167,0.868883437827805
